ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
193.252.10.2,laubervilliers-656-1-33-2.w193-252.abo.wanadoo.fr.,3215,Orange,FR,Crosne,,,false,0.81,2020-11-17T18:07:53Z,2020-08-08T20:33:06Z
163.172.107.158,163-172-107-158.rev.poneytelecom.eu.,12876,Online S.a.s.,GB,,9.11.3-1ubuntu1.11-Ubuntu,,true,0.99,2020-09-19T16:49:58Z,2020-08-08T20:33:07Z
208.79.218.162,,10929,NETELLIGENT,CA,,9.9.5-3ubuntu0.19-Ubuntu,,false,1.00,2020-11-17T18:07:35Z,2020-08-08T20:49:32Z
162.221.207.228,,11831,ESECUREDATA,CA,,cryptostorm,,false,1.00,2020-11-17T18:08:23Z,2020-08-08T20:49:37Z
66.119.188.199,smtp.fiberwire.ca.,20161,TRGO,CA,Vancouver,Microsoft DNS 6.1.7601 (1DB15F75),,false,1.00,2020-11-17T18:07:36Z,2020-08-08T20:52:39Z
216.187.93.250,,54643,IDIGITAL,CA,Vancouver,9.3.6-P1-RedHat-9.3.6-25.P1.el5_11.3,,false,0.99,2020-10-20T11:23:34Z,2020-08-08T20:52:58Z
66.199.45.225,,23498,CDSI,CA,Brampton,dnsmasq-2.55,,true,1.00,2020-11-17T18:07:37Z,2020-08-08T20:56:33Z
177.131.114.86,177-131-114-86.acessoline.net.br.,262391,ACESSOLINE TELECOMUNICACOES LTDA,BR,Chapecó,dnsmasq-2.78,,false,0.96,2020-11-17T18:07:54Z,2020-08-08T21:03:35Z
84.200.69.80,,31400,Accelerated IT Services & Consulting GmbH,DE,,,,true,0.99,2020-09-02T09:51:06Z,2020-08-09T09:03:41Z
84.200.70.40,,31400,Accelerated IT Services & Consulting GmbH,DE,,,,true,1.00,2020-11-17T18:08:21Z,2020-08-09T09:03:43Z
2001:1608:10:25::1c04:b12f,,31400,Accelerated IT Services & Consulting GmbH,DE,,,,true,0.99,2020-11-17T18:07:27Z,2020-08-09T09:03:44Z
2606:4700:4700::1001,one.one.one.one.,13335,CLOUDFLARENET,US,,,,true,1.00,2020-09-02T09:51:00Z,2020-08-09T18:59:34Z
2001:4860:4860::8844,dns.google.,15169,GOOGLE,US,,,,true,1.00,2020-09-21T22:51:41Z,2020-08-09T19:00:20Z
149.112.112.112,rpz-public-resolver1.rrdns.pch.net.,19281,QUAD9-AS-1,US,,Q9-P-6.1,,true,0.99,2020-09-15T12:50:47Z,2020-08-09T19:00:46Z
2620:fe::fe,dns.quad9.net.,19281,QUAD9-AS-1,US,,Q9-P-6.1,,true,0.99,2020-09-20T22:50:56Z,2020-08-09T19:00:46Z
2620:fe::9,dns9.quad9.net.,19281,QUAD9-AS-1,US,,Q9-P-7.0,,true,1.00,2020-11-17T18:08:30Z,2020-08-09T19:00:46Z
31.24.200.4,dns-fw2.baharnet.ir.,56466,Pars Fonoun Ofogh Information Technology and Communications Company LTD,IR,,[NONE],,false,0.96,2020-09-15T12:50:05Z,2020-08-10T08:56:33Z
209.244.0.3,resolver1.level3.net.,3356,LEVEL3,US,,Version: recursive-main/20717463,,false,0.99,2020-09-06T08:49:33Z,2020-08-10T11:51:41Z
194.224.52.37,ns2.telefonica-data.com.,3352,Telefonica De Espana,ES,Madrid,,,true,1.00,2020-11-17T18:06:44Z,2020-08-10T18:34:52Z
194.224.52.36,ns1.telefonica-data.com.,3352,Telefonica De Espana,ES,Madrid,,,true,1.00,2020-11-17T18:06:07Z,2020-08-10T18:41:57Z
194.224.52.4,esifw1.tsai.es.,3352,Telefonica De Espana,ES,Madrid,,,true,1.00,2020-11-17T18:06:07Z,2020-08-10T18:47:18Z
54.94.175.250,ec2-54-94-175-250.sa-east-1.compute.amazonaws.com.,16509,AMAZON-02,BR,São Paulo,dnsmasq-2.68,,false,1.00,2020-11-17T18:06:29Z,2020-08-11T01:23:12Z
45.173.200.10,ns1.fibertheandes.pe.,267831,INVERSIONES EN TELECOMUNICACIONES DIGITALES S.A.C,PE,Jauja,9.11.4-P2-RedHat-9.11.4-16.P2.el7_8.6,,true,0.76,2020-11-17T18:08:24Z,2020-08-11T01:32:33Z
200.115.141.138,138-IPA.141.115.200.in-addr.arpa.,21599,Cable Onda,PA,La Chorrera,,,true,0.99,2020-09-15T12:49:59Z,2020-08-11T01:34:09Z
190.105.152.28,28.152.105.190.ptpanama.com.,52337,COMUNICACIONES TASION,PA,,,,false,0.95,2020-10-20T11:23:25Z,2020-08-11T01:34:19Z
200.115.141.140,140-IPA.141.115.200.in-addr.arpa.,21599,Cable Onda,PA,Panama City,,,true,0.99,2020-11-17T18:07:43Z,2020-08-11T01:34:20Z
207.248.224.72,env2.b-enlinea.mx.,11172,"Alestra, S. de R.L. de C.V.",MX,Monterrey,none,,false,0.99,2020-10-20T11:23:24Z,2020-08-11T01:54:57Z
201.144.40.139,static.customer-201-144-40-139.uninet-ide.com.mx.,8151,Uninet S.A. de C.V.,MX,Tlaquepaque,,,true,0.53,2020-11-17T18:07:24Z,2020-08-11T01:54:59Z
200.115.176.23,ns1.banpais.hn.,262205,Banco del Pais,HN,,,,false,0.99,2020-11-17T18:08:35Z,2020-08-11T13:27:39Z
190.11.225.2,ns1.psinet.hn.,27923,"COMPANIA DE TELEVISION VIA SATELITE, S.A. (TEVISAT S.A.)",HN,La Ceiba,,,false,0.95,2020-11-17T18:08:37Z,2020-08-11T13:27:43Z
